TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,SUSPICIOUS
45833000,1409000,1409000,1409000,1409000,200,0
45835000,1409000,1409000,1409000,1409000,200,0
45837000,1409000,1409000,1409000,1409000,100,0
45838000,1408900,1409000,1408900,1409000,2400,0
45839000,1409000,1409000,1409000,1409000,3400,0
45840000,1409000,1409000,1409000,1409000,10000,0
45841000,1409000,1409000,1408900,1408900,3100,0
45842000,1408900,1408900,1408900,1408900,500,0
45844000,1408900,1408900,1408900,1408900,109,0
45845000,1408900,1409000,1408900,1408900,8080,0
45846000,1408900,1408900,1408900,1408900,1100,0
45847000,1408900,1409000,1408900,1408900,4100,0
45848000,1409000,1409000,1408900,1409000,1952,0
45849000,1409000,1409000,1409000,1409000,100,0
45850000,1409000,1409000,1408900,1408900,3500,0
45851000,1408900,1409000,1408900,1408900,1100,0
45852000,1409000,1409000,1409000,1409000,5100,0
45853000,1408900,1408900,1408900,1408900,3800,0
45856000,1408900,1409000,1408800,1408800,99594,0
45857000,1408900,1408900,1408900,1408900,400,0
45858000,1408900,1409000,1408900,1409000,12200,0
45859000,1409000,1409000,1409000,1409000,100,0
45862000,1409000,1409000,1409000,1409000,180,0
45863000,1409000,1409000,1409000,1409000,100,0
45865000,1409000,1409000,1409000,1409000,465,0
45866000,1409000,1409000,1409000,1409000,5100,0
45867000,1409000,1409000,1409000,1409000,100,0
45868000,1409000,1409000,1409000,1409000,100,0
45869000,1408900,1409000,1408900,1409000,20200,0
45870000,1409000,1409000,1409000,1409000,300,0
45871000,1409000,1409000,1409000,1409000,100,0
45873000,1409000,1409000,1409000,1409000,100,0
45875000,1409000,1409000,1409000,1409000,5223,0
45877000,1409000,1409000,1409000,1409000,2100,0
45878000,1409000,1409000,1409000,1409000,400,0
45879000,1409000,1409000,1408900,1408900,300,0
45880000,1409000,1409000,1409000,1409000,2609,0
45881000,1409000,1409000,1409000,1409000,200,0
45882000,1409000,1409000,1408800,1408900,119725,0
45883000,1408900,1409000,1408800,1409000,500,0
45884000,1408900,1409000,1408900,1409000,10300,0
45885000,1408800,1408800,1408800,1408800,100,0
45886000,1408900,1408900,1408900,1408900,5000,0
45887000,1408800,1408900,1408700,1408900,11803,0
45888000,1408700,1408700,1408700,1408700,100,0
45889000,1408800,1408900,1408700,1408700,600,0
45891000,1408800,1408800,1408700,1408700,600,0
45892000,1408700,1408700,1408700,1408700,100,0
45894000,1408800,1408800,1408800,1408800,100,0
45895000,1408800,1408900,1408800,1408800,30013,0
45896000,1408900,1408900,1408900,1408900,300,0
45897000,1408800,1408800,1408800,1408800,500,0
45898000,1408800,1408800,1408800,1408800,200,0
45899000,1408900,1408900,1408800,1408800,5100,0
45900000,1408900,1408900,1408900,1408900,100,0
45902000,1408900,1408900,1408900,1408900,100,0
45903000,1408800,1408800,1408800,1408800,100,0
45904000,1408900,1408900,1408900,1408900,100,0
45908000,1408800,1408800,1408800,1408800,100,0
45912000,1408900,1408900,1408900,1408900,900,0
45913000,1408800,1408900,1408800,1408900,5100,0
45914000,1408900,1408900,1408900,1408900,500,0
45915000,1408900,1408900,1408900,1408900,300,0
45916000,1408900,1408900,1408900,1408900,900,0
45918000,1408900,1408900,1408900,1408900,19301,0
45919000,1409000,1409000,1409000,1409000,800,0
45925000,1409000,1409000,1409000,1409000,3500,0
45928000,1409000,1409000,1409000,1409000,400,0
45931000,1408900,1408900,1408900,1408900,700,0
45934000,1408900,1408900,1408900,1408900,400,0
45935000,1408900,1408900,1408900,1408900,200,0
45936000,1409000,1409000,1409000,1409000,100,0
45938000,1409000,1409000,1409000,1409000,400,0
45939000,1409000,1409000,1409000,1409000,20751,0
45940000,1409000,1409000,1409000,1409000,100,0
45941000,1409000,1409000,1409000,1409000,500,0
45943000,1409000,1409000,1408900,1408900,1100,0
45944000,1409000,1409000,1409000,1409000,200,0
45946000,1408900,1408900,1408900,1408900,6598,0
45947000,1409000,1409000,1408900,1409000,700,0
45948000,1409000,1409000,1408900,1409000,2000,0
45949000,1408900,1409000,1408900,1409000,4800,0
45958000,1409000,1409000,1409000,1409000,900,0
45959000,1409000,1409000,1409000,1409000,400,0
45960000,1408900,1408900,1408900,1408900,1191,0
45961000,1409000,1409000,1408900,1408900,600,0
45962000,1408900,1408900,1408900,1408900,200,0
45963000,1408900,1408900,1408900,1408900,400,0
45964000,1409000,1409000,1409000,1409000,100,0
45965000,1409000,1409000,1409000,1409000,400,0
45968000,1408900,1408900,1408900,1408900,200,0
45969000,1408900,1408900,1408900,1408900,2100,0
45970000,1409000,1409000,1409000,1409000,500,0
45971000,1408900,1408900,1408300,1408300,40463,0
45972000,1408800,1408800,1408800,1408800,300,0
45973000,1409000,1409000,1408700,1408700,900,0
45974000,1408700,1408700,1408700,1408700,200,0
45976000,1408700,1408700,1408700,1408700,100,0
45978000,1408700,1408700,1408700,1408700,100,0
45979000,1408700,1408800,1408700,1408800,42000,0
